case_id,low_reference_activity,few_controls,replicates_disagree,controls_disagree
20160921|7487-94-7|20,False,False,False,True
20160921|75330-75-5|0.03,False,False,False,True
20160921|75330-75-5|0.1,False,False,False,True
20160921|75330-75-5|0.3,False,False,False,True
20160921|75330-75-5|1,False,False,False,True
20160921|75330-75-5|3,False,False,False,True
20160921|75330-75-5|10,False,False,False,True
20160921|75330-75-5|20,False,False,False,True
20160921|79902-63-9|0.03,False,False,False,True
20160921|79902-63-9|0.1,False,False,False,True
20160921|79902-63-9|0.3,False,False,False,True
20160921|79902-63-9|1,False,False,False,True
20160921|79902-63-9|3,False,False,False,True
20160921|79902-63-9|10,False,False,False,True
20160921|79902-63-9|20,False,False,False,True
20160921|81131-70-6|0.03,False,False,False,False
20160921|81131-70-6|0.1,False,False,False,False
20160921|81131-70-6|0.3,False,False,False,False
20160921|81131-70-6|1,False,False,False,False
20160921|81131-70-6|3,False,False,False,False
20160921|81131-70-6|10,False,False,False,False
20160921|81131-70-6|20,False,False,False,False
20161013|117-81-7|0.03,False,False,False,False
20161013|117-81-7|0.1,False,False,False,False
20161013|117-81-7|0.3,False,False,False,False
20161013|117-81-7|1,False,False,True,False
20161013|117-81-7|3,False,False,False,False
20161013|117-81-7|10,False,False,False,False
20161013|117-81-7|20,False,False,True,False
20161013|2465-27-2|0.03,False,False,False,False
20161013|2465-27-2|0.1,False,False,False,False
20161013|2465-27-2|0.3,False,False,False,False
20161013|2465-27-2|1,False,False,True,False
20161013|2465-27-2|3,False,False,False,False
20161013|2465-27-2|10,False,False,False,False
20161013|2465-27-2|20,False,False,False,False
20161013|28094-15-7|0.03,False,False,False,False
20161013|28094-15-7|0.1,False,False,False,False
20161013|28094-15-7|0.3,False,False,False,False
20161013|28094-15-7|1,False,False,False,False
20161013|28094-15-7|3,False,False,True,False
20161013|28094-15-7|10,False,False,False,False
20161013|28094-15-7|20,False,False,False,False
20161013|50-06-6|0.03,False,False,True,False
20161013|50-06-6|0.1,False,False,False,False
20161013|50-06-6|0.3,False,False,False,False
20161013|50-06-6|1,False,False,False,False
20161013|50-06-6|3,False,False,False,False
20161013|50-06-6|10,False,False,False,False
20161013|50-06-6|20,False,False,False,False
20161013|50-29-3|0.03,False,False,False,False
20161013|50-29-3|0.1,False,False,False,False
20161013|50-29-3|0.3,False,False,False,False
20161013|50-29-3|1,False,False,False,False
20161013|50-29-3|3,False,False,False,False
20161013|50-29-3|10,False,False,False,False
20161013|50-29-3|20,False,False,False,False
20161013|50-78-2|0.03,False,False,False,False
20161013|50-78-2|0.1,False,False,True,False
20161013|50-78-2|0.3,False,False,False,False
20161013|50-78-2|1,False,False,False,False
20161013|50-78-2|3,False,False,False,False
20161013|50-78-2|10,False,False,False,False
20161013|50-78-2|20,False,False,False,False
20161013|633-65-8|0.03,False,False,False,False
20161013|633-65-8|0.1,False,False,False,False
20161013|633-65-8|0.3,False,False,False,False
20161013|633-65-8|1,False,False,False,False
20161013|633-65-8|3,False,False,False,False
20161013|633-65-8|10,False,False,False,False
20161013|633-65-8|20,False,False,False,False
20161013|80-09-1|0.03,False,False,False,False
20161013|80-09-1|0.1,False,False,True,False
20161013|80-09-1|0.3,False,False,False,False
20161013|80-09-1|1,False,False,True,False
20161013|80-09-1|3,False,False,False,False
20161013|80-09-1|10,False,False,False,False
20161013|80-09-1|20,False,False,False,False
20161109|115-29-7|0.03,False,False,False,False
20161109|115-29-7|0.1,False,False,False,False
20161109|115-29-7|0.3,False,False,False,False
20161109|115-29-7|1,False,False,False,False
20161109|115-29-7|3,False,False,False,False
20161109|115-29-7|10,False,False,False,False
20161109|115-29-7|20,False,False,False,False
20161109|143-50-0|0.03,False,False,False,False
20161109|143-50-0|0.1,False,False,False,False
20161109|143-50-0|0.3,False,False,False,False
20161109|143-50-0|1,False,False,False,False
20161109|143-50-0|3,False,False,False,False
20161109|143-50-0|10,False,False,False,False
20161109|143-50-0|20,False,False,False,False
20161109|2385-85-5|0.03,False,False,False,False
20161109|2385-85-5|0.1,False,False,True,False
20161109|2385-85-5|0.3,False,False,False,False
20161109|2385-85-5|1,False,False,False,False
20161109|2385-85-5|3,False,False,False,False
20161109|2385-85-5|10,False,False,False,False
20161109|2385-85-5|20,False,False,False,False
20161109|309-00-2|0.03,False,False,False,False
20161109|309-00-2|0.1,False,False,False,False
20161109|309-00-2|0.3,False,False,False,False
20161109|309-00-2|1,False,False,False,False
20161109|309-00-2|3,False,False,False,False
20161109|309-00-2|10,False,False,False,False
20161109|309-00-2|20,False,False,False,False
20161109|50-29-3|0.03,False,False,False,False
20161109|50-29-3|0.1,False,False,False,False
20161109|50-29-3|0.3,False,False,True,False
20161109|50-29-3|1,False,False,False,False
20161109|50-29-3|3,False,False,False,False
20161109|50-29-3|10,False,False,False,False
20161109|50-29-3|20,False,False,False,False
20161109|50-78-2|0.03,False,False,False,False
20161109|50-78-2|0.1,False,False,False,False
20161109|50-78-2|0.3,False,False,False,False
20161109|50-78-2|1,False,False,False,False
20161109|50-78-2|3,False,False,False,False
20161109|50-78-2|10,False,False,False,False
20161109|50-78-2|20,False,False,False,False
20161109|57-74-9|0.03,False,False,False,False
20161109|57-74-9|0.1,False,False,False,False
20161109|57-74-9|0.3,False,False,False,False
20161109|57-74-9|1,False,False,True,False
20161109|57-74-9|3,False,False,False,False
20161109|57-74-9|10,False,False,False,False
20161109|57-74-9|20,False,False,False,False
20161109|72-20-8|0.03,False,False,False,False
20161109|72-20-8|0.1,False,False,True,False
20161109|72-20-8|0.3,False,False,False,False
20161109|72-20-8|1,False,False,False,False
20161109|72-20-8|3,False,False,False,False
20161109|72-20-8|10,False,False,False,False
20161109|72-20-8|20,False,False,True,False
20161109|72-43-5|0.03,False,False,False,False
20161109|72-43-5|0.1,False,False,False,False
20161109|72-43-5|0.3,False,False,False,False
20161109|72-43-5|1,False,False,False,False
20161109|72-43-5|3,False,False,False,False
20161109|72-43-5|10,False,False,False,False
20161109|72-43-5|20,False,False,False,False
20161109|72-54-8|0.03,False,False,False,False
20161109|72-54-8|0.1,False,False,True,False
20161109|72-54-8|0.3,False,False,False,False
20161109|72-54-8|1,False,False,False,False
20161109|72-54-8|3,False,False,False,False
20161109|72-54-8|10,False,False,False,False
20161109|72-54-8|20,False,False,False,False
20161109|72-55-9|0.03,False,False,True,False
20161109|72-55-9|0.1,False,False,False,False
20161109|72-55-9|0.3,False,False,False,False
20161109|72-55-9|1,False,False,False,False
20161109|72-55-9|3,False,False,False,False
20161109|72-55-9|10,False,False,False,False
20161109|72-55-9|20,False,False,False,False
20161109|789-02-6|0.03,False,False,False,False
20161109|789-02-6|0.1,False,False,False,False
20161109|789-02-6|0.3,False,False,False,False
20161109|789-02-6|1,False,False,False,False
20161109|789-02-6|3,False,False,True,False
20161109|789-02-6|10,False,False,False,False
20161109|789-02-6|20,False,False,False,False
20170412|10043-35-3|0.03,False,False,False,False
20170412|10043-35-3|0.1,False,False,False,False
20170412|10043-35-3|0.3,False,False,False,False
20170412|10043-35-3|1,False,False,False,False
20170412|10043-35-3|3,False,False,False,False
20170412|10043-35-3|10,False,False,False,False
20170412|10043-35-3|20,False,False,False,False
20170412|105512-06-9|0.03,False,False,False,False
20170412|105512-06-9|0.1,False,False,False,False
20170412|105512-06-9|0.3,False,False,False,False
20170412|105512-06-9|1,False,False,False,False
20170412|105512-06-9|3,False,False,False,False
20170412|105512-06-9|10,False,False,False,False
20170412|105512-06-9|20,False,False,False,False
20170412|148477-71-8|0.03,False,False,False,False
20170412|148477-71-8|0.1,False,False,False,False
20170412|148477-71-8|0.3,False,False,False,False
20170412|148477-71-8|1,False,False,False,False
20170412|148477-71-8|3,False,False,False,False
20170412|148477-71-8|10,False,False,False,False
20170412|148477-71-8|20,False,False,False,False
20170412|1912-24-9|0.03,False,False,False,False
20170412|1912-24-9|0.1,False,False,False,False
20170412|1912-24-9|0.3,False,False,True,False
20170412|1912-24-9|1,False,False,False,False
20170412|1912-24-9|3,False,False,False,False
20170412|1912-24-9|10,False,False,False,False
20170412|1912-24-9|20,False,False,False,False
20170412|1948-33-0|0.03,False,False,False,False
20170412|1948-33-0|0.1,False,False,False,False
20170412|1948-33-0|0.3,False,False,False,False
20170412|1948-33-0|1,False,False,False,False
20170412|1948-33-0|3,False,False,False,False
20170412|1948-33-0|10,False,False,True,False
20170412|1948-33-0|20,False,False,False,False
20170412|3380-34-5|0.03,False,False,False,False
20170412|3380-34-5|0.1,False,False,False,False
20170412|3380-34-5|0.3,False,False,False,False
20170412|3380-34-5|1,False,False,False,False
20170412|3380-34-5|3,False,False,False,False
20170412|3380-34-5|10,False,False,False,False
20170412|3380-34-5|20,False,False,False,False
20170412|55-98-1|0.03,False,False,False,False
20170412|55-98-1|0.1,False,False,False,False
20170412|55-98-1|0.3,False,False,False,False
20170412|55-98-1|1,False,False,False,False
20170412|55-98-1|3,False,False,False,False
20170412|55-98-1|10,False,False,False,False
20170412|55-98-1|20,False,False,False,False
20170412|60-54-8|0.03,False,False,True,False
20170412|60-54-8|0.1,False,False,False,False
20170412|60-54-8|0.3,False,False,False,False
20170412|60-54-8|1,False,False,False,False
20170412|60-54-8|3,False,False,False,False
20170412|60-54-8|10,False,False,False,False
20170412|60-54-8|20,False,False,False,False
20170412|759-94-4|0.03,False,False,True,False
